,link,pub_titles,predicted category
43,https://www.researchgate.net/profile/Anders-Goksoyr,Supplementary Material,physics
44,https://www.researchgate.net/profile/Anders-Goksoyr,Table 1,math
45,https://www.researchgate.net/profile/Anders-Goksoyr,Graphical abstract,math
46,https://www.researchgate.net/profile/Anders-Goksoyr,Figure 1,physics
47,https://www.researchgate.net/profile/Anders-Goksoyr,Table 2,math
48,https://www.researchgate.net/profile/Anders-Goksoyr,Assessing the environmental quality of sediments from Split coastal area (Croatia) with a battery of cell-based bioassays,biology
49,https://www.researchgate.net/profile/Anders-Goksoyr,Quantitative proteomics analysis reveals perturbation of lipid metabolic pathways in the liver of Atlantic cod (Gadus morhua) treated with PCB 153,biology
50,https://www.researchgate.net/profile/Anders-Goksoyr,Source to Sink: Microplastics Ingested by Benthic Fauna From Discharge Points to Deep Basins in an Urban Model Fjord,biology
51,https://www.researchgate.net/profile/Anders-Goksoyr,Environmental Chemicals Modulate Polar Bear (Ursus maritimus) Peroxisome Proliferator-Activated Receptor Gamma (PPARG) and Adipogenesis in Vitro,biology
52,https://www.researchgate.net/profile/Anders-Goksoyr,Quantitative analyses of the hepatic proteome of methylmercury-exposed Atlantic cod (Gadus morhua) suggest oxidative stress-mediated effects on cellular energy metabolism,biology
53,https://www.researchgate.net/profile/Anders-Goksoyr,Single and mixture effects of aquatic micropollutants studied in precision-cut liver slices of Atlantic cod (Gadus morhua),biology
54,https://www.researchgate.net/profile/Anders-Goksoyr,Assessment of the environmental quality of coastal sediments by using a combination of in vitro bioassays,biology
55,https://www.researchgate.net/profile/Anders-Goksoyr,"Environmental contaminants activate human and polar bear (Ursus maritimus) pregnane X receptor (PXR, NR1I2) differently",biology
56,https://www.researchgate.net/profile/Anders-Goksoyr,COMMENTARY: Connecting the Seas of Norden,math
57,https://www.researchgate.net/profile/Anders-Goksoyr,Connecting the Seas of Norden,math
58,https://www.researchgate.net/profile/Anders-Goksoyr,"Comment on ""Contaminant levels in Norwegian farmed Atlantic salmon (Salmo salar) in the 13-year period from 1999 to 2011"" by Nøstbakken et al",physics
59,https://www.researchgate.net/profile/Anders-Goksoyr,Liver transcriptome analysis of Atlantic cod (Gadus morhua) exposed to PCB 153 indicates effects on cell cycle regulation and lipid metabolism,biology
60,https://www.researchgate.net/profile/Anders-Goksoyr,Alterations in the Atlantic COD (Gadus morhua) Hepatic Thiol-Proteome After Methylmercury Exposure,biology
61,https://www.researchgate.net/profile/Anders-Goksoyr,A characterization of the ZFL cell line and primary hepatocytes as in vitro liver cell models for the zebrafish (Danio rerio),biology
62,https://www.researchgate.net/profile/Anders-Goksoyr,MRNA expression of genes regulating lipid metabolism in ringed seals (Pusa hispida) from differently polluted areas,biology
63,https://www.researchgate.net/profile/Anders-Goksoyr,Precision-cut liver slices of Atlantic cod (Gadus morhua): An in vitro system for studying the effects of environmental contaminants,biology
64,https://www.researchgate.net/profile/Anders-Goksoyr,"Functional Characterization of a Full Length Pregnane X Receptor, Expression in vivo, and Identification of PXR Alleles in Zebrafish (Danio rerio)",biology
65,https://www.researchgate.net/profile/Anders-Goksoyr,Sanchez et al CBP 2008 spiggin,physics
66,https://www.researchgate.net/profile/Anders-Goksoyr,Global transcriptome analysis of Atlantic cod (Gadus morhua) liver after in vivo methylmercury exposure suggests effects on energy metabolism pathways,biology
67,https://www.researchgate.net/profile/Anders-Goksoyr,Integrative environmental genomics of cod (Gadus morhua) reveal the mechanisms underlying MeHg- and PCB153 induced toxicity,biology
68,https://www.researchgate.net/profile/Anders-Goksoyr,Conservation and divergence of chemical defense system in the tunicate Oikopleura dioica revealed by genome wide response to two xenobiotics,biology
69,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 1,biology
70,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 2,biology
71,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 3,biology
72,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 4,biology
73,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 9,biology
74,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 10,physics
75,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 5,biology
76,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 7,biology
77,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 6,biology
78,https://www.researchgate.net/profile/Anders-Goksoyr,Additional file 8,biology
79,https://www.researchgate.net/profile/Anders-Goksoyr,Mass spectrometric analyses of microsomal cytochrome P450 isozymes isolated from β-naphthoflavone-treated Atlantic cod (Gadus morhua) liver reveal insights into the cod CYPome,biology
80,https://www.researchgate.net/profile/Anders-Goksoyr,Marine n-3 fatty acids alter the proteomic response to methylmercury in Atlantic salmon kidney (ASK) cells,biology
81,https://www.researchgate.net/profile/Anders-Goksoyr,A harmonized European framework for method validation to support research on emerging pollutants,biology
82,https://www.researchgate.net/profile/Anders-Goksoyr,Brain proteome alterations of Atlantic cod (Gadus morhua) exposed to PCB 153,biology
83,https://www.researchgate.net/profile/Anders-Goksoyr,3rd Norwegian Environmental Toxicology Symposium: Emerging Solutions for Emerging Challenges,biology
84,https://www.researchgate.net/profile/Anders-Goksoyr,Integrative Environmental Genomics of Cod (Gadus morhua): The Proteomics Approach,biology
85,https://www.researchgate.net/profile/Anders-Goksoyr,A harmonised European framework for method validation to support research on emerging pollutants,biology
86,https://www.researchgate.net/profile/Anders-Goksoyr,"Development of Atlantic cod (Gadus morhua) exposed to produced water during early life stages Effects on embryos, larvae, and juvenile fish",biology
87,https://www.researchgate.net/profile/Anders-Goksoyr,"Transcriptional responses in juvenile Atlantic cod (Gadus morhua) after exposure to mercury-contaminated sediments obtained near the wreck of the German WW2 submarine U-864, and from Bergen Harbor, Western Norway",biology
88,https://www.researchgate.net/profile/Anders-Goksoyr,Responses in the brain proteome of Atlantic cod (Gadus morhua) exposed to methylmercury,biology
89,https://www.researchgate.net/profile/Anders-Goksoyr,Nuclear receptor targets for endocrine disrupting compounds,biology
90,https://www.researchgate.net/profile/Anders-Goksoyr,Reducing persistent organic pollutants while maintaining long chain omega-3 fatty acid in farmed Atlantic salmon using decontaminated fish oils for an entire production cycle,biology
91,https://www.researchgate.net/profile/Anders-Goksoyr,EP45 accumulates in growing Xenopus laevis oocytes and has oocyte-maturation-enhancing activity involved in oocyte quality,biology
92,https://www.researchgate.net/profile/Anders-Goksoyr,Biomarker candidate discovery in Atlantic cod (Gadus morhua) continuously exposed to North Sea produced water from egg to fry,biology
93,https://www.researchgate.net/profile/Anders-Goksoyr,Balsa Raft Crossing the Pacific Finds Low Contaminant Levels,biology
94,https://www.researchgate.net/profile/Anders-Goksoyr,PAH biomarker responses in polar cod (Boreogadus saida) exposed to benzo(a)pyrene,biology
95,https://www.researchgate.net/profile/Anders-Goksoyr,"Candidate biomarker discovery in plasma of juvenile cod (Gadus morhua) exposed to crude North Sea oil, alkyl phenols and polycyclic aromatic hydrocarbons (PAHs)",biology
96,https://www.researchgate.net/profile/Anders-Goksoyr,Harmonised protocols for method validation for monitoring and biomonitoring of emerging pollutants - Developed by the NORMAN network,biology
97,https://www.researchgate.net/profile/Anders-Goksoyr,2nd Norwegian Environmental Toxicology Symposium: Joining Forces for an Integrated Search for Environmental Solutions,biology
98,https://www.researchgate.net/profile/Anders-Goksoyr,"Are Atlantic Cod in Store Lungegrdsvann, a Seawater Recipient in Bergen, Affected by Environmental Contaminants? A qRT-PCR Survey",biology
99,https://www.researchgate.net/profile/Anders-Goksoyr,"Estrogenicity profile and estrogenic compounds determined in river sediments by chemical analysis, ELISA and yeast assays",biology
100,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Reference Architecture for Data-Driven and Adaptive Internet-Delivered Psychological Treatment Systems: Software Architecture Development and Validation Study,biology
101,https://www.researchgate.net/profile/Fazle-Rabbi-18,Analysis of patient pathways with contextual process mining,biology
102,https://www.researchgate.net/profile/Fazle-Rabbi-18,User-centred design of clinical dashboards for guided iCBT,biology
103,https://www.researchgate.net/profile/Fazle-Rabbi-18,Extremely Randomized Trees With Privacy Preservation for Distributed Structured Health Data,biology
104,https://www.researchgate.net/profile/Fazle-Rabbi-18,Diversity-Aware Anonymization for Structured Health Data,biology
105,https://www.researchgate.net/profile/Fazle-Rabbi-18,Monitoring Motor Activity Data for Detecting Patients’ Depression Using Data Augmentation and Privacy-Preserving Distributed Learning,biology
106,https://www.researchgate.net/profile/Fazle-Rabbi-18,Challenges and possible solutions in cross-disciplinary and cross-sectorial research teams within the domain of e-mental health,biology
107,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Reference Architecture for Data-Driven and Adaptive Internet-Delivered Psychological Treatment Systems: Software Architecture Development and Validation Study (Preprint),biology
108,https://www.researchgate.net/profile/Fazle-Rabbi-18,Scalable Privacy-Preserving Distributed Extremely Randomized Trees for Structured Data With Multiple Colluding Parties,math
109,https://www.researchgate.net/profile/Fazle-Rabbi-18,Artificial Intelligence in Mental Health,biology
110,https://www.researchgate.net/profile/Fazle-Rabbi-18,Privacy preserving distributed extremely randomized trees,math
111,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Model Based Slicing Technique for Process Mining Healthcare Information,biology
112,https://www.researchgate.net/profile/Fazle-Rabbi-18,Reusable Data Visualization Patterns for Clinical Practice,biology
113,https://www.researchgate.net/profile/Fazle-Rabbi-18,Adaptation of IDPT System Based on Patient-Authored Text Data using NLP,biology
114,https://www.researchgate.net/profile/Fazle-Rabbi-18,Adaptation of IDPT system based on patient-authored text data using NLP,biology
115,https://www.researchgate.net/profile/Fazle-Rabbi-18,Model-Driven Automatic Question Generation for a Gamified Clinical Guideline Training System,biology
116,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Practical Methodology for Anonymization of Structured Health Data,biology
117,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Model Driven Approach to the Design of a Gamified e-Learning System for Clinical Guidelines,biology
118,https://www.researchgate.net/profile/Fazle-Rabbi-18,An Architectural Design for Self-Reporting E-Health Systems,biology
119,https://www.researchgate.net/profile/Fazle-Rabbi-18,A GraphQL approach to Healthcare Information Exchange with HL7 FHIR,physics
120,https://www.researchgate.net/profile/Fazle-Rabbi-18,An architecture for creating self-reporting e-health systems,biology
121,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Model Driven Approach to the Development of Gamified Interactive Clinical Practice Guidelines,biology
122,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Model Driven Approach to the Design of a Gamified eLearning System for Clinical Guidelines,biology
123,https://www.researchgate.net/profile/Fazle-Rabbi-18,An architectural design for self-reporting e-health systems,biology
124,https://www.researchgate.net/profile/Fazle-Rabbi-18,Analysis and Evaluation of Conformance Preserving Graph Transformation Rules,math
125,https://www.researchgate.net/profile/Fazle-Rabbi-18,A GraphQL approach to Healthcare Information Exchange with HL7 FHIR,physics
126,https://www.researchgate.net/profile/Fazle-Rabbi-18,"Analysis and Evaluation of Conformance Preserving Graph Transformation Rules: 6th International Conference, MODELSWARD 2018, Funchal, Madeira, Portugal, January 22-24, 2018, Revised Selected Papers",physics
127,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Model Driven Engineering Approach for Heterogeneous Model Composition,biology
128,https://www.researchgate.net/profile/Fazle-Rabbi-18,Development of an E-mental Health Infrastructure for Supporting Interoperability and Data Analysis,biology
129,https://www.researchgate.net/profile/Fazle-Rabbi-18,Static Analysis of Conformance Preserving Model Transformation Rules,physics
130,https://www.researchgate.net/profile/Fazle-Rabbi-18,Optimizing Distributed Resource Allocation Using Epistemic Game Theory: A Model-Driven Engineering Approach,biology
131,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Bottom up Approach for Synchronous User Interaction Design and Workflow Modelling,biology
132,https://www.researchgate.net/profile/Fazle-Rabbi-18,An MDE Approach for Modelling and Reasoning About Multi-agent Systems,biology
133,https://www.researchgate.net/profile/Fazle-Rabbi-18,Challenges for technology innovation in health care,biology
134,https://www.researchgate.net/profile/Fazle-Rabbi-18,Diagrammatic Development of Domain Specific Modelling Languages with WebDPF,biology
135,https://www.researchgate.net/profile/Fazle-Rabbi-18,Towards A Categorical Approach for Meta-Modelling Epistemic Game Theory,physics
136,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Heuristic Approach for Resolving the Class Responsibility Assignment Case,math
137,https://www.researchgate.net/profile/Fazle-Rabbi-18,WebDPF: A Web-based Metamodelling and Model Transformation Environment,biology
138,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Heuristic Approach for Resolving the Class Responsibility Assignment Case,math
139,https://www.researchgate.net/profile/Fazle-Rabbi-18,Towards a Multi Metamodelling Approach for Developing Distributed Healthcare Applications,biology
140,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Diagrammatic Approach to Model Completion,math
141,https://www.researchgate.net/profile/Fazle-Rabbi-18,"Co-ordination of Multiple Metamodels, with Application to Healthcare Systems",math
142,https://www.researchgate.net/profile/Fazle-Rabbi-18,User-Friendly UIs for the Execution of Clinical Practice Guidelines,biology
143,https://www.researchgate.net/profile/Fazle-Rabbi-18,A flexible metamodelling approach for healthcare systems,biology
144,https://www.researchgate.net/profile/Fazle-Rabbi-18,A User-friendly Tool for Model Checking Healthcare Workflows,biology
145,https://www.researchgate.net/profile/Fazle-Rabbi-18,A scalable ontology reasoner via incremental materialization,biology
146,https://www.researchgate.net/profile/Fazle-Rabbi-18,A Model Slicing Method for Workflow Verification,biology
147,https://www.researchgate.net/profile/Fazle-Rabbi-18,T □: A Domain Specific Language for Rapid Workflow Development,biology
148,https://www.researchgate.net/profile/Fazle-Rabbi-18,Model Driven Workflow Development with T,biology
149,https://www.researchgate.net/profile/Fazle-Rabbi-18,Lecture Notes in Computer Science,math
150,https://www.researchgate.net/profile/Fazle-Rabbi-18,"Design, Development and Verification of a Compensable Workflow Modeling Language",biology
151,https://www.researchgate.net/profile/Fazle-Rabbi-18,NOVA Workflow: A Workflow Management Tool Targeting Health Services Delivery,biology
152,https://www.researchgate.net/profile/Fazle-Rabbi-18,Modeling and Verifying Timed Compensable Workflows and an Application to Health Care,biology
153,https://www.researchgate.net/profile/Fazle-Rabbi-18,Compensable WorkFlow Nets,biology
154,https://www.researchgate.net/profile/Fazle-Rabbi-18,An Automated Translator for Model Checking Time Constrained Workflow Systems,biology
155,https://www.researchgate.net/profile/Fazle-Rabbi-18,YAWL2DVE: An automated translator for workflow verification,biology
156,https://www.researchgate.net/profile/Fazle-Rabbi-18,Adaptive Particle Swarm Optimization (APSO) for multimodal function optimization,biology
157,https://www.researchgate.net/profile/Torbjorn-Torsheim,Gamblers' use of measures to prevent gambling problems and reduce harm,biology
158,https://www.researchgate.net/profile/Torbjorn-Torsheim,Nordic adolescents responding to demanding survey scales in boring contexts: Examining straightlining,biology
159,https://www.researchgate.net/profile/Torbjorn-Torsheim,General and Alcohol-Related Social Media Use and Mental Health: a Large-Sample Longitudinal Study,biology
160,https://www.researchgate.net/profile/Torbjorn-Torsheim,The relationship between substance use disorder and gambling disorder: A nationwide longitudinal health registry study,biology
161,https://www.researchgate.net/profile/Torbjorn-Torsheim,Cross-national time trends in adolescent alcohol use from 2002 to 2014,biology
162,https://www.researchgate.net/profile/Torbjorn-Torsheim,Regulatory Measures' Effect on Gambling Participation: Experiences From Norway,biology
163,https://www.researchgate.net/profile/Torbjorn-Torsheim,"Demographical, personality, alcohol use, and mental health characteristics associated with different alcoholic beverage preferences among students",biology
164,https://www.researchgate.net/profile/Torbjorn-Torsheim,Setting the scene: controversies on trends in mental health among adolescents in the Nordic countries,biology
165,https://www.researchgate.net/profile/Torbjorn-Torsheim,On the time trends among school-aged children in the Nordic countries,biology
166,https://www.researchgate.net/profile/Torbjorn-Torsheim,On the art of doing surveys among adolescents,biology
167,https://www.researchgate.net/profile/Torbjorn-Torsheim,The Norwegian remote intervention programme for problem gambling: Short- and long-term outcomes,biology
168,https://www.researchgate.net/profile/Torbjorn-Torsheim,Tinder Use and Romantic Relationship Formations: A Large-Scale Longitudinal Study,biology
169,https://www.researchgate.net/profile/Torbjorn-Torsheim,Patterns of Health-Related Gender Inequalities—A Cluster Analysis of 45 Countries,biology
170,https://www.researchgate.net/profile/Torbjorn-Torsheim,Spotlight on adolescent health and well-being Findings from the 2017/2018 Health Behaviour in School-aged Children (HBSC) survey in Europe and Canada International report VOLUME 2. KEY DATA,biology
171,https://www.researchgate.net/profile/Torbjorn-Torsheim,FINDINGS FROM THE 2017/2018 HEALTH BEHAVIOUR IN SCHOOL-AGED CHILDREN (HBSC) SURVEY IN EUROPE AND CANADA INTERNATIONAL REPORT VOLUME 1. KEY FINDINGS Spotlight on adolescent health and well-being Spotlight on adolescent health and well-being,biology
172,https://www.researchgate.net/profile/Torbjorn-Torsheim,"Demographics, Personality and Substance-Use Characteristics Associated with Forming Romantic Relationships",biology
173,https://www.researchgate.net/profile/Torbjorn-Torsheim,Predictors of Gamblers Beliefs About Responsible Gambling Measures,biology
174,https://www.researchgate.net/profile/Torbjorn-Torsheim,Towards enhancing research on adolescent positive mental health,biology
175,https://www.researchgate.net/profile/Torbjorn-Torsheim,Trends in excellent self-rated health among adolescents: A comparative Nordic study,biology
176,https://www.researchgate.net/profile/Torbjorn-Torsheim,Time-trends in Nordic adolescents’ communication with their parents,biology
177,https://www.researchgate.net/profile/Torbjorn-Torsheim,Building knowledge of adolescent mental health in the Nordic countries: An introduction to a Nordic research collaboration,biology
178,https://www.researchgate.net/profile/Torbjorn-Torsheim,Trends in perceived school stress among adolescents in five Nordic countries 2002–2014,biology
179,https://www.researchgate.net/profile/Torbjorn-Torsheim,Trends in high life satisfaction among adolescents in five Nordic countries 2002–2014,biology
180,https://www.researchgate.net/profile/Torbjorn-Torsheim,National Child and Adolescent Health Policies as Indicators of Adolescent Mental Health: A Multilevel Analysis of 30 European Countries,biology
181,https://www.researchgate.net/profile/Torbjorn-Torsheim,Positive mental health among school-aged children: A Nordic research collaborations [Oral Presentation],biology
182,https://www.researchgate.net/profile/Torbjorn-Torsheim,Positive mental health among school-aged children: A Nordic research collaborations [Oral Presentation],biology
183,https://www.researchgate.net/profile/Torbjorn-Torsheim,Are Video Games a Gateway to Gambling? A Longitudinal Study Based on a Representative Norwegian Sample,biology
184,https://www.researchgate.net/profile/Torbjorn-Torsheim,"The associations between low-level gaming, high-level gaming and problematic alcohol use",biology
185,https://www.researchgate.net/profile/Torbjorn-Torsheim,Cross-country comparisons of trends in adolescent psychosomatic symptoms - A Rasch analysis of HBSC data from four Nordic countries,biology
186,https://www.researchgate.net/profile/Torbjorn-Torsheim,Cyberbullying and traditional bullying among Nordic adolescents and their impact on life satisfaction,biology
187,https://www.researchgate.net/profile/Torbjorn-Torsheim,A Cross-National Analysis of the Psychometric Properties of the Geriatric Anxiety Inventory,biology
188,https://www.researchgate.net/profile/Torbjorn-Torsheim,"A Cross-Lagged Study of Developmental Trajectories of Video Game Engagement, Addiction, and Mental Health",biology
189,https://www.researchgate.net/profile/Torbjorn-Torsheim,Prevalence and correlates of stimulant and depressant pharmacological cognitive enhancement among Norwegian students,biology
190,https://www.researchgate.net/profile/Torbjorn-Torsheim,Behavioral Trajectories During Middle Childhood: Differential Effects of the School-Wide Positive Behavior Support Model,biology
191,https://www.researchgate.net/profile/Torbjorn-Torsheim,Screening for intellectual disabilities: a validation of the Hayes Ability Screening Index for in-patients with substance use disorder,biology
192,https://www.researchgate.net/profile/Torbjorn-Torsheim,The Prevalence and Characteristics of Intellectual and Borderline Intellectual Disabilities in a Sample of Inpatients with Substance Use Disorders: Preliminary Clinical Results,biology
193,https://www.researchgate.net/profile/Torbjorn-Torsheim,Family wealth and parent–child relationships,biology
194,https://www.researchgate.net/profile/Torbjorn-Torsheim,Mental health symptoms and gambling behaviour: A longitudinal study from adolescence to emerging adulthood,biology
195,https://www.researchgate.net/profile/Torbjorn-Torsheim,The Development and Validation of the Bergen–Yale Sex Addiction Scale With a Large National Sample,biology
196,https://www.researchgate.net/profile/Torbjorn-Torsheim,Intellectual Functioning in In-Patients with Substance Use Disorders: Preliminary Results from a Clinical Mediation Study of Factors Contributing to IQ Variance,biology
197,https://www.researchgate.net/profile/Torbjorn-Torsheim,The effectiveness of a parental guide for prevention of problematic video gaming in children: A public health randomized controlled intervention study,biology
198,https://www.researchgate.net/profile/Torbjorn-Torsheim,Workaholism as a Mediator between Work-Related Stressors and Health Outcomes,biology
199,https://www.researchgate.net/profile/Torbjorn-Torsheim,"Recurrent cannabis use among Norwegian students: Prevalence, characteristics, and polysubstance use",biology
200,https://www.researchgate.net/profile/Torbjorn-Torsheim,Who is watching user-generated alcohol posts on social media?,biology
201,https://www.researchgate.net/profile/Torbjorn-Torsheim,Disclosure and Exposure of Alcohol on Social Media and Later Alcohol Use: A Large-Scale Longitudinal Study,biology
202,https://www.researchgate.net/profile/Torbjorn-Torsheim,"Social inequalities in self-rated health: A comparative cross-national study among 32,560 Nordic adolescents",biology
203,https://www.researchgate.net/profile/Torbjorn-Torsheim,Quality Assurance in the National Tests of English: Investigating What Makes Reading Difficult,biology
